Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:3)
{be}(nselect:14) 	 	 {begin, start}(nselect:0)
{be}(nselect:14) 	 	 {begin}(nselect:0)
{be}(nselect:14) 	 	 {stand}(nselect:0)
{be}(nselect:14) 	 	 {specify, define, delineate, delimit, delimitate}(nselect:0)
{be}(nselect:14) 	 	 {go}(nselect:0)
{be}(nselect:14) 	 	 {make sense, add up}(nselect:0)
{be}(nselect:14) 	 	 {consist, comprise}(nselect:0)
{be}(nselect:14) 	 	 {prove, turn out, turn up}(nselect:0)
{be}(nselect:14) 	 	 {account for}(nselect:0)
{be}(nselect:14) 	 	 {remain}(nselect:0)
{be}(nselect:14) 	 	 {stand by, stick by, stick, adhere}(nselect:0)
{be}(nselect:14) 	 	 {loiter, lounge, footle, lollygag, loaf, lallygag, hang around, mess about, tarry, linger, lurk, mill about, mill around}(nselect:0)
{be}(nselect:14) 	 	 {total, number, add up, come, amount}(nselect:0)
{be}(nselect:14) 	 	 {count, matter, weigh}(nselect:0)
{be}(nselect:14) 	 	 {rate}(nselect:0)
{be}(nselect:14) 	 	 {deserve, merit}(nselect:0)
{be}(nselect:14) 	 	 {buy}(nselect:0)
{be}(nselect:14) 	 	 {shine}(nselect:0)
{be}(nselect:14) 	 	 {fall}(nselect:0)
{be}(nselect:14) 	 	 {depend}(nselect:0)
{be}(nselect:14) 	 	 {underlie}(nselect:0)
{be}(nselect:14) 	 	 {stink}(nselect:0)
{be}(nselect:14) 	 	 {suck}(nselect:0)
{be}(nselect:14) 	 	 {subtend, delimit}(nselect:0)
{be}(nselect:14) 	 	 {incarnate, body forth, embody, substantiate}(nselect:0)
{be}(nselect:14) 	 	 {contain, take, hold}(nselect:0)
{be}(nselect:14) 	 	 {cost, be}(nselect:0)
{be}(nselect:14) 	 	 {measure}(nselect:0)
{be}(nselect:14) 	 	 {hum, buzz, seethe}(nselect:0)
{be}(nselect:14) 	 	 {abound}(nselect:0)
{be}(nselect:14) 	 	 {disagree, disaccord, discord}(nselect:0)
{be}(nselect:14) 	 	 {gape, yawn, yaw}(nselect:0)
{be}(nselect:14) 	 	 {tend, be given, lean, incline, run}(nselect:0)
{be}(nselect:14) 	 	 {run, go}(nselect:0)
{be}(nselect:14) 	 	 {figure, enter}(nselect:0)
{be}(nselect:14) 	 	 {press}(nselect:0)
{be}(nselect:14) 	 	 {rage}(nselect:0)
{be}(nselect:14) 	 	 {relate, interrelate}(nselect:0)
{be}(nselect:14) 	 	 {rut}(nselect:0)
{be}(nselect:14) 	 	 {stagnate}(nselect:0)
{be}(nselect:14) 	 	 {stagnate}(nselect:0)
{be}(nselect:14) 	 	 {come in handy}(nselect:0)
{be}(nselect:14) 	 	 {squat}(nselect:0)
{be}(nselect:14) 	 	 {hoodoo}(nselect:0)
{be}(nselect:14) 	 	 {impend}(nselect:0)
{be}(nselect:14) 	 	 {range, run}(nselect:0)
{be}(nselect:14) 	 	 {stay, stay on, continue, remain}(nselect:0)
{be}(nselect:14) 	 	 {sell}(nselect:0)
{be}(nselect:14) 	 	 {translate}(nselect:0)
{be}(nselect:14) 	 	 {head, head up}(nselect:0)
{be}(nselect:14) 	 	 {come in for}(nselect:0)
{be}(nselect:14) 	 	 {compare}(nselect:0)
{be}(nselect:14) 	 	 {fall, come}(nselect:0)
{be}(nselect:14) 	 	 {run into, encounter}(nselect:0)
{be}(nselect:14) 	 	 {gravitate}(nselect:0)
{be}(nselect:14) 	 	 {pay}(nselect:0)
{be}(nselect:14) 	 	 {diverge}(nselect:0)
{be}(nselect:14) 	 	 {shine}(nselect:0)
{be}(nselect:14) 	 	 {iridesce}(nselect:0)
{be}(nselect:14) 	 	 {lie}(nselect:0)
{be}(nselect:14) 	 	 {stand}(nselect:0)
{be}(nselect:14) 	 	 {hang}(nselect:0)
{be}(nselect:14) 	 	 {litter}(nselect:0)
{be}(nselect:14) 	 	 {suit}(nselect:0)
{be}(nselect:14) 	 	 {end, terminate}(nselect:0)
{be}(nselect:14) 	 	 {fit}(nselect:0)
{be}(nselect:14) 	 	 {lend}(nselect:0)
{be}(nselect:14) 	 	 {let go}(nselect:0)
{be}(nselect:14) 	 	 {belong}(nselect:0)
{be}(nselect:14) 	 	 {belong}(nselect:0)
{be}(nselect:14) 	 	 {wind, twist, curve}(nselect:0)
{be}(nselect:14) 	 	 {jumble, mingle}(nselect:0)
{be}(nselect:14) 	 	 {promise}(nselect:0)
{be}(nselect:14) 	 	 {accept, take}(nselect:0)
{be}(nselect:14) 	 	 {clean}(nselect:0)
{be}(nselect:14) 	 	 {draw}(nselect:0)
{be}(nselect:14) 	 	 {wash}(nselect:0)
{be}(nselect:14) 	 	 {balance}(nselect:0)
{be}(nselect:14) 	 	 {hail, come}(nselect:0)
{be}(nselect:14) 	 	 {act}(nselect:0)
{be}(nselect:14) 	 	 {test}(nselect:0)
{be}(nselect:14) 	 	 {seem}(nselect:0)
{be}(nselect:14) 	 	 {answer}(nselect:0)
{be}(nselect:14) 	 	 {beat}(nselect:0)
{be}(nselect:14) 	 	 {hold}(nselect:0)
{be}(nselect:14) 	 	 {count}(nselect:0)
{be}(nselect:14) 	 	 {contain}(nselect:0)
{be}(nselect:14) 	 	 {connect}(nselect:0)
{be}(nselect:14) 	 	 {sell}(nselect:0)
{be}(nselect:14) 	 	 {sell}(nselect:0)
{be}(nselect:14) 	 	 {kill}(nselect:0)
{be}(nselect:14) 	 	 {make}(nselect:0)
{be}(nselect:14) 	 	 {deck, adorn, decorate, grace, embellish, beautify}(nselect:0)
{be}(nselect:14) 	 	 {consist}(nselect:0)
{be}(nselect:14) 	 	 {work}(nselect:0)
{be}(nselect:14) 	 	 {lubricate}(nselect:0)
{be}(nselect:14) 	 	 {breathe}(nselect:0)
{be}(nselect:14) 	 	 {trim}(nselect:0)
{be}(nselect:14) 	 	 {swing}(nselect:0)
{be}(nselect:14) 	 	 {osculate}(nselect:0)
{be}(nselect:14) 	 	 {retard}(nselect:0)
{be}(nselect:14) 	 	 {transplant}(nselect:0)
{be}(nselect:14) 	 	 {cohere}(nselect:0)
{be}(nselect:14) 	 	 {object}(nselect:0)
{be}(nselect:14) 	 	 {stick}(nselect:0)
{be}(nselect:14) 	 	 {recognize}(nselect:0)
{be}(nselect:14) 	 	 {distribute}(nselect:0)
{be}(nselect:14) 	 	 {put out}(nselect:0)
{be}(nselect:14) 	 	 {bake, broil}(nselect:0)
{be}(nselect:14) 	 	 {swim, drown}(nselect:0)
{be}(nselect:14) 	 	 {swim}(nselect:0)
{be}(nselect:14) 	 	 {belong}(nselect:0)
Verbo(nselect:0) 	 	 {express, verbalize, verbalise, utter, give tongue to}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {curse, cuss, blaspheme, swear, imprecate}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {wish}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {exclaim, cry, cry out, outcry, call out, shout}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {clamor, clamour}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {vociferate, shout out}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {marvel}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {voice}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {raise}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {breathe}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {drop}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {pour out}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {get off}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {platitudinize}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {say}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {represent}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {pooh-pooh}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {hurl, throw}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {state, say, tell}(nselect:4)
{state, say, tell}(nselect:4) 	 	 {present, represent, lay out}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {misstate}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {answer, reply, respond}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {precede, preface, premise, introduce}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {announce, declare}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {articulate, enunciate, vocalize, vocalise}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {get out}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {declare}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {declare}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {note, observe, mention, remark}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {add, append, supply}(nselect:1)
{add, append, supply}(nselect:1) 	 	 {slip in, stick in, sneak in, insert}(nselect:0)
{add, append, supply}(nselect:1) 	 	 {toss in}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {explain}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {give}(nselect:0)
{state, say, tell}(nselect:4) 	 	 {summarize, summarise, sum, sum up}(nselect:0)
Verbo(nselect:0) 	 	 {appear, come along}(nselect:0)
{appear, come along}(nselect:0) 	 	 {gleam}(nselect:0)
{appear, come along}(nselect:0) 	 	 {fulminate}(nselect:0)
{appear, come along}(nselect:0) 	 	 {occur}(nselect:3)
{occur}(nselect:3) 	 	 {pair, geminate}(nselect:0)
{occur}(nselect:3) 	 	 {run}(nselect:0)
{occur}(nselect:3) 	 	 {collocate}(nselect:0)
{occur}(nselect:3) 	 	 {abound in, teem in, pullulate with}(nselect:0)
Verbo(nselect:0) 	 	 {produce, make, create}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {breed}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {remake, refashion, redo, make over}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {prefabricate}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {underproduce}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {output}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {pulse, pulsate}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {clap up, clap together, slap together}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {custom-make, customize, customise, tailor-make}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {dummy, dummy up}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {turn out}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {machine}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {churn out}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {overproduce}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {elaborate}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {put out}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {laminate}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {bootleg}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {generate}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {extrude, squeeze out}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {smelt}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {reproduce}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {prefabricate, preassemble}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {fudge together, throw together}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {print, publish}(nselect:1)
{print, publish}(nselect:1) 	 	 {republish}(nselect:0)
{print, publish}(nselect:1) 	 	 {gazette}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {confect}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {proof}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {cut, burn}(nselect:0)
{produce, make, create}(nselect:0) 	 	 {render, yield, return, give, generate}(nselect:1)
Verbo(nselect:0) 	 	 {designate, denominate}(nselect:0)
{designate, denominate}(nselect:0) 	 	 {label}(nselect:0)
{label}(nselect:0) 	 	 {name, call}(nselect:2)
{name, call}(nselect:2) 	 	 {baptize, baptise, christen}(nselect:0)
{name, call}(nselect:2) 	 	 {refer}(nselect:0)
{name, call}(nselect:2) 	 	 {style, title}(nselect:0)
{name, call}(nselect:2) 	 	 {rename}(nselect:0)
{name, call}(nselect:2) 	 	 {entitle, title}(nselect:0)
{name, call}(nselect:2) 	 	 {term}(nselect:0)
{name, call}(nselect:2) 	 	 {tag}(nselect:0)
{name, call}(nselect:2) 	 	 {dub, nickname}(nselect:1)
{label}(nselect:0) 	 	 {call}(nselect:0)
{label}(nselect:0) 	 	 {address, direct}(nselect:0)
{label}(nselect:0) 	 	 {stigmatize, stigmatise, brand, denounce, mark}(nselect:0)
Verbo(nselect:0) 	 	 {analyze, analyse, study, examine, canvass, canvas}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {anatomize}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {diagnose, name}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {diagnose}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {survey, appraise}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {survey}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {check, check up on, look into, check out, suss out, check over, go over, check into}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {assay}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {review, reexamine}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {audit, scrutinize, scrutinise, inspect}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {screen}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {trace, follow}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {investigate, look into}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {sieve, sift}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {view, consider, look at}(nselect:0)
{analyze, analyse, study, examine, canvass, canvas}(nselect:0) 	 	 {compare}(nselect:1)
{compare}(nselect:1) 	 	 {analogize, analogise}(nselect:0)
{compare}(nselect:1) 	 	 {collate}(nselect:0)
Verbo(nselect:0) 	 	 {get, acquire}(nselect:0)
{get, acquire}(nselect:0) 	 	 {isolate}(nselect:0)
{get, acquire}(nselect:0) 	 	 {win back, get back}(nselect:0)
{get, acquire}(nselect:0) 	 	 {press out, express, extract}(nselect:0)
{get, acquire}(nselect:0) 	 	 {capture, catch}(nselect:0)
{get, acquire}(nselect:0) 	 	 {come by, come into}(nselect:0)
{get, acquire}(nselect:0) 	 	 {buy, purchase}(nselect:0)
{get, acquire}(nselect:0) 	 	 {lease, rent, hire, charter, engage, take}(nselect:0)
{get, acquire}(nselect:0) 	 	 {receive, have}(nselect:0)
{get, acquire}(nselect:0) 	 	 {turn}(nselect:0)
{get, acquire}(nselect:0) 	 	 {buy}(nselect:0)
{get, acquire}(nselect:0) 	 	 {find}(nselect:0)
{get, acquire}(nselect:0) 	 	 {glom}(nselect:0)
{get, acquire}(nselect:0) 	 	 {enter upon, come upon, luck into}(nselect:0)
{get, acquire}(nselect:0) 	 	 {line up, get hold, come up, find}(nselect:0)
{get, acquire}(nselect:0) 	 	 {accept, take, have}(nselect:0)
{get, acquire}(nselect:0) 	 	 {recover, retrieve, find, regain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {catch}(nselect:0)
{get, acquire}(nselect:0) 	 	 {recover, recoup, recuperate}(nselect:0)
{get, acquire}(nselect:0) 	 	 {reclaim, repossess}(nselect:0)
{get, acquire}(nselect:0) 	 	 {find, regain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {acquire, win, gain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0)
{get, acquire}(nselect:0) 	 	 {earn, garner}(nselect:0)
{get, acquire}(nselect:0) 	 	 {profit, gain, benefit}(nselect:0)
{get, acquire}(nselect:0) 	 	 {partake, share, partake in}(nselect:0)
{get, acquire}(nselect:0) 	 	 {preempt}(nselect:0)
{get, acquire}(nselect:0) 	 	 {preempt}(nselect:0)
{get, acquire}(nselect:0) 	 	 {collect, pick up, gather up, call for}(nselect:0)
{get, acquire}(nselect:0) 	 	 {inherit}(nselect:0)
{get, acquire}(nselect:0) 	 	 {borrow}(nselect:0)
{get, acquire}(nselect:0) 	 	 {pick up}(nselect:0)
{get, acquire}(nselect:0) 	 	 {get}(nselect:0)
{get, acquire}(nselect:0) 	 	 {poll}(nselect:0)
{get, acquire}(nselect:0) 	 	 {obtain}(nselect:1)
{obtain}(nselect:1) 	 	 {carry}(nselect:0)
{obtain}(nselect:1) 	 	 {excavate, dig up, turn up}(nselect:0)
{obtain}(nselect:1) 	 	 {extort, wring from}(nselect:0)
{obtain}(nselect:1) 	 	 {kite}(nselect:0)
{obtain}(nselect:1) 	 	 {source}(nselect:0)
{obtain}(nselect:1) 	 	 {procure, secure}(nselect:0)
{obtain}(nselect:1) 	 	 {extract}(nselect:0)
{obtain}(nselect:1) 	 	 {take out}(nselect:0)
{obtain}(nselect:1) 	 	 {get in, get into}(nselect:0)
{obtain}(nselect:1) 	 	 {eke out, squeeze out}(nselect:0)
{obtain}(nselect:1) 	 	 {mooch, bum, cadge, grub, sponge}(nselect:0)
{obtain}(nselect:1) 	 	 {derive, gain}(nselect:0)
{obtain}(nselect:1) 	 	 {shop}(nselect:0)
{obtain}(nselect:1) 	 	 {snag}(nselect:0)
{obtain}(nselect:1) 	 	 {grab}(nselect:0)
Verbo(nselect:0) 	 	 {stay in place}(nselect:0)
{stay in place}(nselect:0) 	 	 {stay, stick, stick around, stay put}(nselect:1)
Verbo(nselect:0) 	 	 {change}(nselect:0)
{change}(nselect:0) 	 	 {change state, turn}(nselect:0)
{change state, turn}(nselect:0) 	 	 {wake up, awake, arouse, awaken, wake, come alive, waken}(nselect:0)
{change state, turn}(nselect:0) 	 	 {zonk out, pass out, black out}(nselect:0)
{change state, turn}(nselect:0) 	 	 {come to, revive, resuscitate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {tense, tense up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {relax, loosen up, unbend, unwind, decompress, slow down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {reduce, melt off, lose weight, slim, slenderize, thin, slim down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {gain, put on}(nselect:0)
{change state, turn}(nselect:0) 	 	 {dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cross-fertilize, cross-fertilise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {conceive}(nselect:0)
{change state, turn}(nselect:0) 	 	 {secularize, secularise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {citrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {equilibrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fall}(nselect:0)
{change state, turn}(nselect:0) 	 	 {become, go, get}(nselect:0)
{change state, turn}(nselect:0) 	 	 {worsen, decline}(nselect:0)
{change state, turn}(nselect:0) 	 	 {better, improve, ameliorate, meliorate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {disengage}(nselect:0)
{change state, turn}(nselect:0) 	 	 {overgrow}(nselect:0)
{change state, turn}(nselect:0) 	 	 {concentrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {break}(nselect:0)
{change state, turn}(nselect:0) 	 	 {acidify, acetify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {alkalize, alkalise, alkalify, basify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {ionize, ionise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {ossify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {catalyze, catalyse}(nselect:0)
{change state, turn}(nselect:0) 	 	 {get worse, relapse}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fluctuate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {explode, burst forth, break loose}(nselect:0)
{change state, turn}(nselect:0) 	 	 {die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cloud over}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carbonize, carbonise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cool, chill, cool down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {heat, hot up, heat up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carbonize, carbonise, carburize, carburise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {freeze}(nselect:0)
{change state, turn}(nselect:0) 	 	 {boil}(nselect:0)
{change state, turn}(nselect:0) 	 	 {burn, combust}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emaciate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {Frenchify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thin}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {solvate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {react}(nselect:0)
{change state, turn}(nselect:0) 	 	 {dissolve, fade out, fade away}(nselect:0)
{change state, turn}(nselect:0) 	 	 {empty, discharge}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fill, fill up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {homogenize, homogenise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {homogenize, homogenise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {curdle, clabber, clot}(nselect:0)
{change state, turn}(nselect:0) 	 	 {clot, coagulate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {sour, turn, ferment, work}(nselect:0)
{change state, turn}(nselect:0) 	 	 {integrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {precipitate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {calcify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {coke}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carnify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {chondrify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emulsify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {denitrify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {esterify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {etherify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thrombose}(nselect:0)
{change state, turn}(nselect:0) 	 	 {open, open up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {close, shut}(nselect:0)
{change state, turn}(nselect:0) 	 	 {sorb, take up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {calm, calm down, cool off, chill out, simmer down, settle down, cool it}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thrive, prosper, fly high, flourish}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emancipate, liberate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {get into, tangle with}(nselect:0)
{change state, turn}(nselect:0) 	 	 {liquefy}(nselect:0)
{change state, turn}(nselect:0) 	 	 {erupt, ignite, catch fire, take fire, combust, conflagrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {be born}(nselect:1)
{be born}(nselect:1) 	 	 {hatch}(nselect:0)
{be born}(nselect:1) 	 	 {fall}(nselect:0)
{be born}(nselect:1) 	 	 {come to life, come into being}(nselect:0)
{be born}(nselect:1) 	 	 {reincarnate, transmigrate}(nselect:0)
{change}(nselect:0) 	 	 {swing}(nselect:0)
{swing}(nselect:0) 	 	 {fluctuate, vacillate, waver}(nselect:2)
{change}(nselect:0) 	 	 {change integrity}(nselect:0)
{change integrity}(nselect:0) 	 	 {reform}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, burst}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, detonate, blow up, set off}(nselect:0)
{change integrity}(nselect:0) 	 	 {cook}(nselect:0)
{change integrity}(nselect:0) 	 	 {break up, disperse, scatter}(nselect:0)
{change integrity}(nselect:0) 	 	 {break, separate, split up, fall apart, come apart}(nselect:0)
{change integrity}(nselect:0) 	 	 {pasteurize, pasteurise}(nselect:0)
{change integrity}(nselect:0) 	 	 {condense}(nselect:0)
{change integrity}(nselect:0) 	 	 {evaporate, vaporize, vaporise}(nselect:0)
{change integrity}(nselect:0) 	 	 {burn, incinerate}(nselect:0)
{change integrity}(nselect:0) 	 	 {blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate, decay, decompose}(nselect:0)
{change integrity}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change integrity}(nselect:0) 	 	 {gasify, vaporize, vaporise, aerify}(nselect:0)
{change integrity}(nselect:0) 	 	 {liquefy, flux, liquify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {crystallize, crystallise, crystalize, crystalise}(nselect:0)
{change integrity}(nselect:0) 	 	 {dissolve, resolve, break up}(nselect:0)
{change integrity}(nselect:0) 	 	 {demulsify}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify, jelly}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify}(nselect:0)
{change integrity}(nselect:0) 	 	 {separate}(nselect:0)
{change integrity}(nselect:0) 	 	 {crumble, crumple, tumble, break down, collapse}(nselect:0)
{change integrity}(nselect:0) 	 	 {divide, split, split up, separate, dissever, carve up}(nselect:1)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {subdivide}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {format, initialize, initialise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {sectionalize, sectionalise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {triangulate}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {unitize, unitise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {lot}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {parcel}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {sliver, splinter}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {paragraph}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {canton}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {Balkanize, Balkanise}(nselect:0)
Verbo(nselect:0) 	 	 {touch, adjoin, meet, contact}(nselect:0)
{touch, adjoin, meet, contact}(nselect:0) 	 	 {cover, spread over}(nselect:0)
